
        k                     a_k                            b_k                            x_k                           f(x_k)                          e_k               
       00                  0.00000000                     1.00000000                     0.00000000                   -2.00000000e+0                 6.66666667e-01         
       01                  0.00000000                     1.00000000                     0.50000000                   -2.81250000e+0                 1.66666667e-01         
       02                  0.50000000                     1.00000000                     0.75000000                    2.44140625e+0                 8.33333333e-02         
       03                  0.50000000                     0.75000000                     0.62500000                   -9.34326172e-1                 4.16666667e-02         
       04                  0.62500000                     0.75000000                     0.68750000                    5.34988403e-1                 2.08333333e-02         
       05                  0.62500000                     0.68750000                     0.65625000                   -2.50086784e-1                 1.04166667e-02         
       06                  0.65625000                     0.68750000                     0.67187500                    1.29337609e-1                 5.20833333e-03         
       07                  0.65625000                     0.67187500                     0.66406250                   -6.35881238e-2                 2.60416667e-03         
       08                  0.66406250                     0.67187500                     0.66796875                    3.20633363e-2                 1.30208333e-03         
       09                  0.66406250                     0.66796875                     0.66601562                   -1.59642379e-2                 6.51041667e-04         
       10                  0.66601562                     0.66796875                     0.66699219                    7.99896254e-3                 3.25520833e-04         
       11                  0.66601562                     0.66699219                     0.66650391                   -3.99526863e-3                 1.62760417e-04         
       12                  0.66650391                     0.66699219                     0.66674805                    1.99868726e-3                 8.13802083e-05         
       13                  0.66650391                     0.66674805                     0.66662598                   -9.99080365e-4                 4.06901042e-05         
       14                  0.66662598                     0.66674805                     0.66668701                    4.99605995e-4                 2.03450521e-05         
       15                  0.66662598                     0.66668701                     0.66665649                   -2.49786544e-4                 1.01725260e-05         
       16                  0.66665649                     0.66668701                     0.66667175                    1.24897385e-4                 5.08626302e-06         
       17                  0.66665649                     0.66667175                     0.66666412                   -6.24476643e-5                 2.54313151e-06         
       18                  0.66666412                     0.66667175                     0.66666794                    3.12240892e-5                 1.27156576e-06         
       19                  0.66666412                     0.66666794                     0.66666603                   -1.56119803e-5                 6.35782878e-07         
       20                  0.66666603                     0.66666794                     0.66666698                    7.80600624e-6                 3.17891439e-07         

