
        k                     x_k                           f(x_k)                          e_k               
        0                  0.50000000                  -2.81250000e+00                 1.66666667e-01         
        0                  1.00000000                   1.60000000e+01                 3.33333333e-01         
        2                  0.57475083                  -1.84271876e+00                 9.19158361e-02         
        3                  0.61866872                  -1.06137916e+00                 4.79979426e-02         
        4                  0.67832721                   2.93609135e-01                 1.16605419e-02         
        5                  0.66539996                  -3.10198370e-02                 1.26671079e-03         
        6                  0.66663522                  -7.72232505e-04                 3.14505174e-05         
        7                  0.66666675                   2.11504592e-06                 8.61330757e-08         
        8                  0.66666667                  -1.43575818e-10                 5.84698956e-12         

