Mês,Precipitação Total
1,29.5
2,85.3
3,191.9
4,365.4
5,248.5
6,310.5
7,201.1
8,136.2
9,161.6
10,15.9
11,74.3
12,88.0
13,95.2
14,28.6
15,264.1
16,103.5
17,199.2
18,195.9
19,220.3
20,149.7
21,190.8
22,202.3
23,30.3
24,97.4
25,252.4
26,102.8
27,98.7
28,69.3
29,351.6
30,209.2
31,254.8
32,162.8
33,258.8
34,16.0
35,25.2
36,22.7
37,26.7
38,97.3
39,206.3
40,186.8
41,550.5
42,237.5
43,186.5
44,136.7
45,168.7
46,69.2
47,132.8
48,15.2
49,319.4
50,165.3
51,121.9
52,278.4
53,159.5
54,326.3
55,218.4
56,129.5
57,40.5
58,82.0
59,167.6
60,10.9
61,42.9
62,349.4
63,349.4
64,415.0
65,198.2
66,421.1
67,204.1
68,117.1
69,50.6
70,32.9
71,72.8
72,75.5
73,40.1
74,7.1
75,35.9
76,587.4
77,396.5
78,401.4
79,91.7
80,122.7
81,126.9
82,258.9
83,220.0
84,30.3
85,20.0
86,282.6
87,86.8
88,143.2
89,211.2
90,134.0
91,130.4
92,109.0
93,85.8
94,78.9
95,19.1
96,18.8
97,17.8
98,183.8
99,149.3
100,154.3
101,203.6
102,178.2
103,149.1
104,58.7
105,37.8
106,31.7
107,78.4
108,103.5
109,30.3
110,122.1
111,25.6
112,506.6
113,549.3
114,155.1
115,158.9
116,93.8
117,56.1
118,162.4
119,48.1
120,5.8
121,78.5
122,19.2
123,122.8
124,448.8
125,243.8
126,96.6
127,492.5
128,176.3
129,55.8
130,56.7
131,27.2
132,102.5
133,170.3
134,46.2
135,200.7
136,331.0
137,304.2
138,277.7
139,57.6
140,91.3
141,62.0
142,208.5
143,319.2
144,100.7
145,35.7
146,70.9
147,74.7
148,48.8
149,411.5
150,170.2
151,162.5
152,137.4
153,30.7
154,73.6
155,35.5
156,10.7
157,36.2
158,28.6
159,38.4
160,230.8
161,231.1
162,308.4
163,198.0
164,211.2
165,109.4
166,208.6
167,209.2
168,158.2
169,48.3
170,142.7
171,128.8
172,107.1
173,247.2
174,240.6
175,198.9
176,60.2
177,92.7
178,27.7
179,58.0
180,194.2
